index,J_XYL_F_0001_01,J_XYL_F_0001_02,J_XYL_F_0002_01,J_XYL_F_0002_02,J_XYL_F_0003_01,J_XYL_F_0003_02,J_XYL_F_0004_01,J_XYL_F_0004_02,J_XYL_F_0005_01,J_XYL_F_0005_02,J_XYL_F_0006_01,J_XYL_F_0006_02,J_XYL_F_0010_01,J_XYL_F_0010_02,J_XYL_F_0012_01,J_XYL_F_0012_02,J_XYL_F_0013_01,J_XYL_F_0013_02,J_XYL_F_0015_01,J_XYL_F_0015_02,J_XYL_F_0016_01,J_XYL_F_0016_02,J_XYL_F_0018_01,J_XYL_F_0018_02,J_XYL_F_0020_01,J_XYL_F_0020_02,J_XYL_F_0025_01,J_XYL_F_0025_02,J_XYL_F_0031_01,J_XYL_F_0031_02,J_XYL_F_0032_01,J_XYL_F_0032_02,J_XYL_F_0034_01,J_XYL_F_0034_02,J_XYL_F_0036_01,J_XYL_F_0036_02,J_XYL_F_0043_01,J_XYL_F_0043_2,J_XYL_F_0044_01,J_XYL_F_0044_02,J_XYL_F_0045_01,J_XYL_F_0045_2,J_XYL_F_0046_01,J_XYL_F_0046_02,J_XYL_F_0047_01,J_XYL_F_0047_02,J_XYL_F_0048_01,J_XYL_F_0049_02,J_XYL_F_0050_01,J_XYL_F_0050_02,J_XYL_F_0051_01,J_XYL_F_0051_02,J_XYL_F_0053_01,J_XYL_F_0053_02,J_XYL_F_0057_01,J_XYL_F_0057_02,J_XYL_F_0058_01,J_XYL_F_0058_02,J_XYL_F_0059_01,J_XYL_F_0059_02,J_XYL_F_0060_01,J_XYL_F_0060_02,J_XYL_F_0061_01,J_XYL_F_0061_02,J_XYL_F_0062_01,J_XYL_F_0062_02,J_XYL_F_0064_01,J_XYL_F_0064_02,J_XYL_F_0065_01,J_XYL_F_0065_02,J_XYL_F_0066_01,J_XYL_F_0066_02,K_XYL_F_0001_01,K_XYL_F_0001_02,K_XYL_F_0002_01,K_XYL_F_0002_02,K_XYL_F_0003_01,K_XYL_F_0003_02,K_XYL_F_0004_01,K_XYL_F_0004_02,K_XYL_F_0005_01,K_XYL_F_0005_02,K_XYL_F_0007_01,K_XYL_F_0007_02,K_XYL_F_0008_01,K_XYL_F_0008_02,K_XYL_F_0009_01,K_XYL_F_0009_02,K_XYL_F_0011_01,K_XYL_F_0011_02,K_XYL_F_0012_01,K_XYL_F_0012_02,K_XYL_F_0013_01,K_XYL_F_0013_02,K_XYL_F_0017_01,K_XYL_F_0017_02,K_XYL_F_0018_01,K_XYL_F_0018_02,K_XYL_F_0022_01,K_XYL_F_0022_02,K_XYL_F_0028_01,K_XYL_F_0028_02,K_XYL_F_0030_02,K_XYL_F_0030_03,K_XYL_F_0033_01,K_XYL_F_0033_02,K_XYL_F_0035_01,K_XYL_F_0035_02,K_XYL_F_0036_01,K_XYL_F_0036_02,K_XYL_F_0037_01,K_XYL_F_0037_02,K_XYL_F_0038_01,K_XYL_F_0038_02,K_XYL_F_0039_01,K_XYL_F_0039_02,K_XYL_F_0042_01,K_XYL_F_0042_02,K_XYL_F_0043_01,K_XYL_F_0043_02,K_XYL_F_0044_01,K_XYL_F_0044_02,K_XYL_F_0045_01,K_XYL_F_0045_02,K_XYL_F_0046_01,K_XYL_F_0046_02,K_XYL_F_0047_01,K_XYL_F_0047_02,K_XYL_F_0048_01,K_XYL_F_0048_02
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__[Eubacterium]_hallii_group,0,16,0,21,0,9,52,62,17,0,0,0,22,35,32,61,0,0,23,11,0,42,25,0,31,0,0,61,71,18,0,0,28,0,0,0,0,0,0,0,0,19,0,0,72,140,0,24,0,0,0,0,0,11,0,0,0,11,0,34,0,30,0,0,25,0,38,0,0,0,0,0,0,0,0,0,75,84,0,0,0,0,29,0,101,0,0,68,59,26,19,40,0,0,0,0,0,0,0,50,0,0,0,0,0,68,95,68,0,44,3,144,0,116,0,0,0,26,41,33,0,113,0,0,0,0,45,17,22,45
d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;__,0,31,102,141,0,0,105,104,102,0,0,0,73,141,0,0,64,0,0,0,0,2,10,0,14,0,7,52,0,33,14,147,0,0,23,16,190,737,0,0,3,164,3,3,0,0,0,47,0,0,0,0,41,58,0,68,0,61,0,9,0,0,0,0,84,28,0,0,182,10,0,0,0,0,0,0,0,0,0,20,0,0,0,0,3,0,0,32,0,0,3,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,365,0,0,50,0,34,0,0,0,0,0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Butyricicoccaceae;g__Butyricicoccus,78,23,0,0,58,104,0,0,69,0,75,0,69,49,29,6,12,0,4,12,0,0,0,0,12,0,32,11,0,0,0,86,0,66,24,108,268,56,0,0,108,11,63,115,0,174,0,55,0,0,0,0,77,135,0,6,106,0,130,52,0,0,0,0,158,58,0,133,0,16,0,19,0,0,0,0,0,0,0,0,0,0,0,0,80,98,98,117,76,45,19,0,0,0,0,0,13,132,0,5,0,12,49,79,68,73,0,176,28,0,0,0,0,68,0,0,36,19,20,17,0,17,49,0,75,0,94,7,0,140
d__Bacteria;p__Firmicutes;c__Clostridia;o__Monoglobales;f__Monoglobaceae;g__Monoglobus,0,0,73,120,0,186,331,0,49,127,0,0,128,74,0,0,27,3,0,2,0,132,380,0,287,0,360,103,213,111,0,187,39,82,59,0,179,428,0,0,179,114,163,161,74,193,0,230,0,0,0,0,387,179,238,199,0,300,225,284,6,0,534,119,171,80,42,146,230,179,0,0,21,0,28,22,0,24,0,0,0,14,0,0,0,23,0,30,0,23,174,37,0,33,15,2,20,0,0,0,0,0,0,0,9,0,84,0,113,0,0,23,0,0,0,0,17,0,250,128,0,29,181,0,78,0,148,317,43,123
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Psychrobacter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Oscillibacter,0,26,0,27,0,0,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115,0,88,9,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142,79,0,0,0,127,0,0,0,0,0,0,16,0,0,0,0,0,0,10,0,0,12,18,0,66,0,0,0,0,0,0,4,0,34,57,0,0,36,0,12,0,0,0,0,2,0,0,0,0,27,0,16,0,0,0,0,0,0,0,0,0,0,0,78,0,0,0,108,0,0,0,0,8,0,0,6,0
d__Bacteria;p__Firmicutes;c__Clostridia;__;__;__,0,0,8,4,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,5,0,20,0,11,17,0,0,0,4,0,0,3,0,0,0,0,0,0,0,5,4,0,0,0,0,0,0,0,0,5,0,0,6,0,3,0,4,0,0,0,0,4,7,0,0,0,15,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,2,0,0,0,8,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,10,0,0,0,0,0,2,0,2,0,0,0,0,0,1,0,7,0,0,5,0,0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospiraceae_NC2004_group,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__Eggerthella,0,0,0,42,0,15,2,0,0,0,0,0,0,5,33,0,5,0,0,0,0,0,0,0,8,13,0,27,0,0,58,48,0,0,0,0,0,0,0,0,10,13,0,0,0,0,0,0,0,0,0,0,21,0,0,0,57,0,0,0,6,0,126,26,0,8,4,0,0,0,17,73,0,0,0,0,85,0,0,0,0,0,0,32,0,0,0,0,0,21,0,0,0,0,17,11,0,10,0,36,12,45,0,0,0,0,124,78,160,0,0,28,0,27,43,0,28,0,37,18,0,0,0,4,0,10,0,0,0,64
d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__uncultured,0,0,15,41,66,0,0,10,0,0,0,0,108,39,0,0,0,0,0,0,0,0,0,0,19,0,0,13,0,0,0,0,3,0,0,0,0,0,0,0,0,0,21,39,0,0,0,0,6,0,0,0,31,0,0,0,5,65,21,0,0,0,0,22,0,0,0,0,69,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,27,0,0,16,90,0,0,7,0,0,0,0,0,0,0,77,0,0,0,17,0,13,0,0,0,0,0,0,0,67,0,23,0,0,18,23,0,4,7,0,0,0,0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Leuconostocaceae;g__Leuconostoc,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,238,0,0,0,0,0,0,0,0,0,0,0,5,0,4,0,105,0,0,0,0,13,0,0,0,0,0,0,7,0,6,0,0,0,37,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,27,0,0,0,0,0,0,0,0,0,7,0,0,0
d__Bacteria;p__Firmicutes;c__Bacilli;o__RF39;f__RF39;g__RF39,0,0,0,104,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,48,0,67,0,0,0,0,0,0,26,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus,0,125,0,69,0,46,0,41,0,25,0,14,7,46,66,137,117,29,52,12,34,56,129,0,0,126,52,25,11,102,37,53,124,154,12,24,49,0,0,61,75,102,133,78,71,61,113,0,117,0,0,425,64,1,18,148,75,190,66,76,82,134,26,117,306,3537,188,148,0,64,102,342,114,537,8,609,266,541,0,11,9,18,0,0,4,46,0,162,259,82,0,38,32,442,329,216,370,11,128,108,37,29,71,153,417,305,154,0,158,0,233,187,132,28,4686,655,272,101,119,142,11,108,210,1628,92,2037,86,100,6598,125
d__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__Tepidisphaerales;f__WD2101_soil_group;g__WD2101_soil_group,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__[Eubacterium]_ventriosum_group,0,0,0,0,0,169,60,0,0,13,0,0,0,190,0,0,0,0,0,0,0,19,38,0,179,0,48,18,0,36,0,0,0,0,142,68,0,0,0,0,0,0,42,23,0,0,0,0,0,0,0,0,0,63,0,0,94,0,39,27,0,0,116,0,17,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,77,133,0,79,0,95,57,0,127,13,0,0,0,0,0,0,0,60,0,0,0,0,2,0,0,22,0,0,0,0,0,12,0,0,96,0,0,20,0,0,50,0,45,0,0,0,25,0
d__Bacteria;p__Campilobacterota;c__Campylobacteria;o__Campylobacterales;f__Campylobacteraceae;g__Campylobacter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,9,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,6,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;__;__,1,0,22,0,0,0,0,0,0,0,0,0,0,20,0,4,0,1,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,1,0,0,0,48,0,0,0,0,0,0,0,0,10,0,65,0,41,0,0,0,0,52,0,0,0,18,0,0,0,0,0,0,0,20,0,1,43,9,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,8,0,0,0,0,0,0,0,0,12,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,27,0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Granulicatella,29,59,0,7,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,33,0,0,0,0,0,46,25,0,104,11,103,19,54,0,49,0,52,0,0,41,0,18,0,31,95,0,151,0,66,0,52,0,0,0,0,0,0,0,0,49,0,181,32,42,36,0,113,0,0,0,0,0,0,0,0,0,0,0,0,71,51,72,0,0,0,0,38,0,26,158,0,0,0,61,0,69,342,0,74,0,68,0,0,132,0,52,0,0,177,0,54,60,0,17,74,0,0,0,0,0,0,21,0,5,0,27,38,35,40,0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus,0,0,0,0,0,0,33,0,50,0,0,0,0,0,22,0,0,0,0,40,0,142,0,0,0,38,0,0,0,0,0,0,0,0,0,63,0,0,0,0,0,0,0,0,0,29,77,0,125,0,111,0,21,0,0,19,0,0,0,0,68,0,0,0,60,0,29,0,13,0,62,0,30,71,98,54,47,0,35,0,0,70,0,0,41,0,0,79,0,0,0,0,218,41,0,25,137,69,80,21,0,56,90,9437,25,0,62,0,32,0,0,52,83,0,296,79,138,0,0,0,0,0,0,9,0,0,0,0,0,0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;__,0,0,0,29,0,0,0,0,0,0,0,0,0,46,0,0,11,0,0,0,0,0,0,0,2,0,0,0,0,0,16,16,3,0,0,0,0,0,0,0,0,0,3,23,0,0,0,0,3,0,0,0,0,0,0,2,0,28,0,0,0,20,0,0,0,0,0,3,7,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,37,0,0,0,2,0,0,0,0,37,0,0,0,0,0,24,0,0,0,0,3,44,0,0,0,0,12,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Turicibacter,0,0,0,0,0,0,0,0,10,125,23,0,0,0,0,36,26,0,0,0,119,0,0,0,0,0,0,107,0,0,0,0,0,0,0,0,0,0,0,264,0,0,0,0,41,54,5,343,141,0,194,0,71,61,0,0,0,0,0,0,0,0,0,0,0,218,0,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,54,0,0,0,0,275,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,58,40,0,0,0,10,78,9,0,0,0,20,0,26,0,0,0,0,0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Staphylococcales;f__Gemellaceae;g__Gemella,0,0,0,0,0,10,0,0,0,0,0,0,0,14,38,82,0,0,0,19,0,0,0,0,0,49,0,0,0,4,8,8,0,0,0,2,0,0,0,0,0,0,0,0,73,0,0,0,11,0,0,0,8,0,0,2,0,0,27,17,7,17,0,0,30,0,88,0,0,0,0,0,7,0,1,0,2,0,0,0,0,28,0,0,0,0,0,0,0,39,0,0,0,51,0,0,82,0,14,26,43,0,0,3,0,17,0,0,140,0,0,11,10,0,73,0,19,0,0,0,0,0,0,0,0,0,0,6,18,0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Solobacterium,0,10,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,21,0,0,0,0,0,0,0,0,0,0,14,0,0,0,7,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,3,23,0,0,0,0,0,0,15,3,9,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Akkermansiaceae;g__Akkermansia,0,53,84,92,0,44,0,8749,0,0,0,0,52,55,0,47,65,114,0,90,51,144,456,0,553,55,0,99,52,132,1316,149,0,58,0,55,79,37,0,38,0,162,79,167,87,75,60,51,70,0,2,12,93,151,0,39,53,683,76,292,56,78,41,85,43,0,2,0,99,46,67,8579,107,0,0,0,86,0,23,0,41,3,104,0,73,0,11,35,43,0,0,66,22,69,26,142,49,66,0,94,0,0,113,0,0,65,52,77,404,0,26,60,0,71,62,0,125,0,78,0,0,0,0,0,10,0,102,48,0,0
d__Bacteria;p__Acidobacteriota;c__Blastocatellia;o__Pyrinomonadales;f__Pyrinomonadaceae;g__RB41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Marinifilaceae;g__Butyricimonas,0,0,37,11,0,0,0,110,0,0,0,0,0,19,0,0,0,2,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,35,64,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotellaceae_UCG-003,0,13,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,1,0,18,0,17,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,28,0,0,0,15,0,16,0
d__Bacteria;p__Patescibacteria;c__Saccharimonadia;o__Saccharimonadales;f__Saccharimonadaceae;g__Saccharimonadaceae,0,0,5,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,15,0,0,0,0,0,0,3,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,29,4,0,0,0,0,7,0,0,0,0,0,15,0,20,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d__Bacteria;p__Patescibacteria;c__Saccharimonadia;o__Saccharimonadales;__;__,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d__Bacteria;p__Chloroflexi;c__Anaerolineae;o__Caldilineales;f__Caldilineaceae;g__uncultured,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Incertae_Sedis,0,0,0,197,128,87,168,346,11,73,0,0,262,270,33,13,24,16,0,7,39,4,90,0,91,32,0,56,0,0,77,126,0,0,9,0,4,0,51,38,30,23,16,110,38,0,0,30,9,0,0,137,76,90,0,0,0,207,0,159,39,0,52,0,11,16,22,25,0,66,0,17,0,0,0,0,34,0,21,0,20,28,34,53,12,14,30,44,0,0,193,229,28,2,55,41,0,0,0,14,13,75,15,0,14,11,71,14,21,0,12,32,34,15,0,0,37,0,115,17,0,95,44,19,4,25,15,51,0,140
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Dorea,200,91,191,203,150,218,231,208,149,281,368,544,71,149,423,178,60,13,112,0,66,0,323,0,304,39,132,243,139,53,27,257,429,163,81,0,62,0,92,137,0,148,211,193,60,198,0,236,0,0,0,374,365,218,0,185,0,0,98,245,180,175,0,0,104,56,157,4,257,135,0,0,0,0,40,0,115,287,0,0,0,0,65,407,199,66,0,230,207,0,358,233,203,31,0,0,0,0,0,180,0,0,0,0,236,210,411,274,221,777,187,132,0,0,0,0,157,82,405,153,299,213,239,0,191,0,240,200,92,308
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__[Eubacterium]_eligens_group,0,0,0,0,512,0,0,0,206,0,0,0,79,0,0,0,0,0,0,0,0,0,151,313,72,0,0,0,0,0,0,109,0,0,118,0,152,92,0,0,0,0,57,0,0,0,0,210,0,0,0,0,0,0,0,139,0,0,0,98,0,0,0,0,88,66,0,0,114,211,0,0,0,0,79,0,0,0,142,0,0,0,117,0,102,0,0,0,0,0,0,0,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,48,0,0,0,0,0,0,0,17,0,0,18,0,0,0,0,0,0,0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Howardella,0,0,0,0,0,0,0,0,0,0,150,118,0,0,0,0,0,0,0,0,4,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Peptostreptococcaceae;g__Terrisporobacter,0,106,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,78,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,123,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,13,0,0,29,0,0,0,0,0,24,0,43,0,0,0,0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Agathobacter,0,0,0,120,246,824,187,0,139,320,236,184,53,36,178,0,50,105,77,44,0,25,272,0,286,0,700,351,0,0,75,118,523,184,365,517,596,610,121,52,0,0,90,225,134,175,0,219,0,0,0,185,378,249,725,627,304,165,0,415,30,936,0,0,0,0,0,226,141,296,0,66,0,0,0,0,0,50,217,0,151,0,52,418,0,39,286,577,335,186,704,313,3834,0,176,0,0,0,0,165,0,0,0,0,83,122,368,1780,177,0,193,0,151,131,31,0,0,83,115,88,0,66,15,71,15,125,439,802,288,681
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnoclostridium,485,100,59,0,53,0,162,73,100,336,454,250,172,177,0,0,159,63,77,97,6,0,30,59,178,0,39,0,187,87,142,116,61,0,174,121,0,0,983,654,60,60,85,163,67,0,0,191,0,0,70,0,151,50,0,0,236,271,0,72,296,121,101,133,0,0,15,21,0,136,0,210,0,0,0,0,0,0,137,223,460,0,123,0,126,4,100,0,255,136,7,11,0,1,0,129,0,78,0,25,0,0,176,0,0,0,117,173,145,0,0,0,123,256,279,0,0,0,0,0,0,0,0,0,27,26,362,397,39,15
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Enterobacter,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,36,27,155,0,35,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,38,0,0,0,24,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,18,191,0,0,0,0,0,0,0,0,23,0,25,0,0,0,0,0
